video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
-BQJo3vK8O8,2018-03-15,Maluma - El Préstamo (Official Video),MalumaVEVO,10,2018-03-09 11:00:01,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",48431654,609101,52259,29172,https://i.ytimg.com/vi/-BQJo3vK8O8/default.jpg,False,False,False,Maluma - El Prestamo (Official Music Video)\nEl Prestamo is available on the digital platforms!\niTunes: http://smarturl.it/ElPrestamo \nSpotify: http://smarturl.it/ElPrestamoS \nApple Music: http://smarturl.it/ElPrestamoA \nAmazon Music: http://smarturl.it/ElPrestamoAm \nGoogle Play: http://smarturl.it/ElPrestamoGP \nChoose Your Platform!: https://SML.lnk.to/ElPrestamo\n\nFollow Maluma!\nOfficial site: http://www.malumamusik.com\nFacebook: http://www.facebook.com/MALUMAMUSIK\nTwitter: http://www.twitter.com/maluma\nInstagram: http://www.instagram.com/maluma\nYouTube: http://www.youtube.com/user/MalumaVEVO\nOfficial music video by Maluma performing El Prestamo (C) 2018 Sony Music Entertainment US Latin LLC
7C2z4GqqS5E,2018-05-19,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,10,2018-05-18 09:00:02,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",39349927,3880071,72707,692305,https://i.ytimg.com/vi/7C2z4GqqS5E/default.jpg,False,False,False,"BTS (방탄소년단) 'FAKE LOVE' Official MVDirector : YongSeok Choi (Lumpens)Assistant Director : WonJu Lee, Guzza, HyeJeong Park, MinJe Jeong (Lumpens)Director of Photography : HyunWoo Nam(GDW)Gaffer : HyunSuk Song (Real Lighting)Art Director : JinSil Park Bona Kim (MU:E)Construction Manager : SukKi Song Special Effect : DemolitionBigHit Entertainment. Rights are reserved selectively in the video.Unauthorized reproduction is a violation of applicable laws. Manufactured by BigHit Entertainment, Seoul, KoreaConnect with BTS:http://www.ibighit.com http://twitter.com/BTS_bighit http://twitter.com/BTS_twt https://www.facebook.com/ibighit/http://www.facebook.com/bangtan.officialhttp://instagram.com/BTS.bighitofficialhttp://weibo.com/BTSbighitBU content certified by Big Hit Entertainment"
i0p1bmr0EmE,2018-04-14,TWICE What is Love? M/V,jypentertainment,10,2018-04-09 08:59:51,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",38873543,1111592,96407,206632,https://i.ytimg.com/vi/i0p1bmr0EmE/default.jpg,False,False,False,TWICE(트와이스) What is Love? M/V\n\nSpotify https://goo.gl/jVLYYY\niTunes & Apple Music https://goo.gl/DKyKZf\n\nTWICE Official YouTube: http://www.youtube.com/c/TWICEonAir\nTWICE Official Facebook: http://www.facebook.com/JYPETWICE\nTWICE Official Twitter: http://www.twitter.com/JYPETWICE\nTWICE Official Instagram: http://www.instagram.com/TWICETAGRAM\nTWICE Official Homepage: http://TWICE.jype.com\nTWICE Official Fan's: http://fans.jype.com/TWICE\n\nⓒ 2018 JYP Entertainment. All Rights Reserved
6ZfuNTqbHE8,2017-11-30,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,24,2017-11-29 13:26:24,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",37736281,1735895,21969,241237,https://i.ytimg.com/vi/6ZfuNTqbHE8/default.jpg,False,False,False,"There was an idea… Avengers: Infinity War. In theaters May 4.\n\n► Subscribe to Marvel: http://bit.ly/WeO3YJ\n\nFollow Marvel on Twitter: ‪https://twitter.com/marvel\nLike Marvel on FaceBook: ‪https://www.facebook.com/Marvel\n\nFor even more news, stay tuned to:\nTumblr: ‪http://marvelentertainment.tumblr.com/\nInstagram: https://www.instagram.com/marvel\nGoogle+: ‪https://plus.google.com/+marvel\nPinterest: ‪http://pinterest.com/marvelofficial"
2Vv-BfVoq4g,2017-11-14,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,10,2017-11-09 11:04:14,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",33523622,1634124,21082,85067,https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg,False,False,False,"🎧: https://ad.gt/yt-perfect\n💰: https://atlanti.cr/yt-album\nSubscribe to Ed's channel: http://bit.ly/SubscribeToEdSheeran\n\nFollow Ed on...\nFacebook: http://www.facebook.com/EdSheeranMusic\nTwitter: http://twitter.com/edsheeran\nInstagram: http://instagram.com/teddysphotos\nOfficial Website: http://edsheeran.com\n\nDirector: Jason Koenig\nProducer: Honna Kimmerer\nStarring: Ed Sheeran & Zoey Deutch \nDirector of Photography: Johnny Valencia\nProduction Company: Anonymous Content\nExec Producer: Nina Soriano\nProduction Manager: Doug Hoff\nCommissioner: Dan Curwin\nProduction Designer: John Lavin\nLead Casting: Amy Hubbard \n \nWritten by: Jason Koenig, Ed Sheeran, Andrew Kolvet, Jenny Koenig, Murray Cummings\n\nEdited by: Jason Koenig & Johnny Valencia\nVFX: Ian Hubert\n\nCast: Bo Valencia, Dennis Ranalta, Arthur Pauli\n \nSki Cinematography: Corey Koniniec\nSpecialty Camera op: Ryan Haug\n1st AC: Ryan Brown\n \n1st Assistant Director: Ole Zapatka\nArt Director: Klaus Hartl\nSnow fx: Lucien Stephenson\n\nGaffer: Thomas Berz\nStylist: Claudia Lajda\nHair & Makeup: Christel Thoresen\nAustrian Casting: Ursula Kiplinger\n \nAdditional VFX: Zoic\n\nSpecial Thanks to: The Hintertux Glacier, Austria;\nThe Tenne, and Hotel Neuhintertux"
VYOjWnS4cMY,2018-05-08,Childish Gambino - This Is America (Official Video),ChildishGambinoVEVO,10,2018-05-06 04:00:07,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",31648454,1405355,51547,149473,https://i.ytimg.com/vi/VYOjWnS4cMY/default.jpg,False,False,False,“This is America” by Childish Gambino http://smarturl.it/TcIgADirector: Hiro MuraiProducer: Doomsday with Ibra Ake and Fam Rothstein of Wolf + Rothsteintour tickets and merchandise available at childishgambino.com
u9Mv98Gr5pY,2018-04-25,VENOM - Official Trailer (HD),Sony Pictures Entertainment,24,2018-04-24 03:45:03,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",27973210,850362,26541,96767,https://i.ytimg.com/vi/u9Mv98Gr5pY/default.jpg,False,False,False,"We Are #Venom. 10.5.18\n\nOne of Marvel's most enigmatic, complex and badass characters comes to the big screen, starring Academy Award® nominated actor Tom Hardy as the lethal protector Venom. \n\nSubscribe to Sony Pictures for exclusive content: http://bit.ly/SonyPicsSubscribe \n\nFollow VENOM on Social: \nhttps://www.facebook.com/VenomMovie/ \nhttps://twitter.com/VenomMovie \nhttps://www.instagram.com/venommovie/\n\nCast:\nTom Hardy\nMichelle Williams\nRiz Ahmed\nScott Haze\nReid Scott"
FlsCjmMhFmw,2017-12-07,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,24,2017-12-06 17:58:51,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",24782158,1149185,483924,462103,https://i.ytimg.com/vi/FlsCjmMhFmw/default.jpg,False,False,False,"YouTube Rewind 2017. Celebrating the videos, people, music and memes that made 2017. #YouTubeRewind\n\nMeet the featured Creators in Rewind: https://rewind2017.withyoutube.com/creators\nSpend more time with your favorite Creators, videos and trends from 2017: https://yt.be/rewind2017\nTest your Rewind knowledge with our trivia game: http://yt.be/dejaview\n\nWatch trending videos from 2017: http://youtube.com/rewind\nSee the trends as they happen: http://youtube.com/trending\n\nWatch the Behind the Scenes video: https://youtu.be/OIQQ8jmsbMM  \nSee all the Easter Eggs: https://goo.gl/3U9otg\n\nMusic by The Hood Internet: https://www.youtube.com/thehoodinternet\n\nYouTube Rewind 2017 produced by Portal A"
U9BwWKXjVaI,2018-04-14,Drake - Nice For What,DrakeVEVO,10,2018-04-07 02:46:31,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",24421448,641546,16517,42949,https://i.ytimg.com/vi/U9BwWKXjVaI/default.jpg,False,False,False,Music video by Drake performing Nice For What. © 2018 Young Money/Cash Money Records
1J76wN0TPI4,2018-06-01,Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,FoxStarHindi,24,2018-05-30 07:51:32,"0                                          SHANtell martin
1        last week tonight trump presidency, last week ...
2        racist superman, rudy, mancuso, king, bach, ra...
3        rhett and link, gmm, good mythical morning, rh...
4        ryan, higa, higatv, nigahiga, i dare you, idy,...
                               ...                        
40944    aarons animals, aarons, animals, cat, cats, ki...
40945                                              No tags
40946    I gave safiya nygaard a perfect hair makeover ...
40947    Black Panther, HISHE, Marvel, Infinity War, Ho...
40948           call of duty, cod, activision, Black Ops 4
Name: tags, Length: 40949, dtype: object",23758250,587326,18799,43728,https://i.ytimg.com/vi/1J76wN0TPI4/default.jpg,False,False,False,"Few lives in our times are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends, he himself became a film star, and then saw dizzying heights and darkest depths: adulation of die-hard fans, unending battles with various addictions, brushes with the underworld, prison terms, loss of loved ones, and the haunting speculation that he might or might not be a terrorist.Sanju is a hilarious and heartbreaking exploration of one man’s battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking “did this really happen?” This is one such unbelievable story that happens to be true.Starring: Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Anushka Sharma, Sonam Kapoor, Dia Mirza, Vicky Kaushal, Jim Sarbh and Boman Irani.  Directed by: Rajkumar Hirani.  Produced by: Vinod Chopra Films and Rajkumar Hirani Films in association with Fox Star Studios.Also Subscribe To FoxStarIndia: http://goo.gl/Y8HGhYFoxStarSouth : http://goo.gl/AO8IsZSocial Media LinksFacebook: https://www.facebook.com/foxstarhindiTwitter: https://twitter.com/foxstarhindiInstagram: http://instagram.com/foxstarhindiPinterest: http://www.pinterest.com/foxstarhindi/Dailymotion:http://www.dailymotion.com/FoxStarHindi"
